,date,total_cases,total_death,seoul_cases,seoul_death
0,2020-01-21,1,0,0,0
1,2020-01-22,1,0,0,0
2,2020-01-23,1,0,0,0
3,2020-01-24,2,0,0,0
4,2020-01-25,2,0,0,0
5,2020-01-26,2,0,0,0
6,2020-01-27,4,0,0,0
7,2020-01-28,4,0,0,0
8,2020-01-29,4,0,0,0
9,2020-01-30,7,0,0,0
10,2020-01-31,11,0,0,0
11,2020-02-01,12,0,0,0
12,2020-02-02,15,0,0,0
13,2020-02-03,15,0,0,0
14,2020-02-04,16,0,0,0
15,2020-02-05,21,0,0,0
16,2020-02-06,24,0,0,0
17,2020-02-07,24,0,0,0
18,2020-02-08,24,0,0,0
19,2020-02-09,27,0,0,0
20,2020-02-10,27,0,0,0
21,2020-02-11,28,0,0,0
22,2020-02-12,28,0,0,0
23,2020-02-13,28,0,0,0
24,2020-02-14,28,0,0,0
25,2020-02-15,28,0,0,0
26,2020-02-16,29,0,0,0
27,2020-02-17,30,0,14,0
28,2020-02-18,39,0,14,0
29,2020-02-19,46,0,15,0
30,2020-02-20,104,1,22,0
31,2020-02-21,204,1,27,0
32,2020-02-22,433,3,30,0
33,2020-02-23,608,6,31,0
34,2020-02-24,843,7,35,0
35,2020-02-25,977,10,41,0
36,2020-02-26,1261,12,49,0
37,2020-02-27,1766,13,56,0
38,2020-02-28,2337,13,62,0
39,2020-02-29,3150,17,77,0
40,2020-03-01,3736,18,87,0
41,2020-03-02,4212,22,91,0
42,2020-03-03,4812,28,98,0
43,2020-03-04,5328,32,99,0
44,2020-03-05,5766,35,103,0
45,2020-03-06,6284,44,105,0
46,2020-03-07,6767,44,108,0
47,2020-03-08,7134,50,120,0
48,2020-03-09,7382,51,130,0
49,2020-03-10,7513,54,141,0
50,2020-03-11,7755,60,193,0
51,2020-03-12,7869,66,212,0
52,2020-03-13,7979,67,225,0
53,2020-03-14,8086,72,238,0
54,2020-03-15,8162,75,247,0
55,2020-03-16,8236,75,253,0
56,2020-03-17,8320,81,265,0
57,2020-03-18,8413,84,270,0
58,2020-03-19,8565,91,282,0
59,2020-03-20,8652,94,299,0
60,2020-03-21,8799,102,314,0
61,2020-03-22,8897,104,324,0
62,2020-03-23,8961,111,330,0
63,2020-03-24,9037,120,334,0
64,2020-03-25,9137,126,347,0
65,2020-03-26,9241,131,360,0
66,2020-03-27,9332,139,372,0
67,2020-03-28,9478,144,390,0
68,2020-03-29,9583,152,410,0
69,2020-03-30,9661,158,426,0
70,2020-03-31,9786,162,450,0
71,2020-04-01,9887,165,474,0
72,2020-04-02,9976,169,488,0
73,2020-04-03,10062,174,506,0
74,2020-04-04,10156,177,528,0
75,2020-04-05,10237,183,552,0
76,2020-04-06,10284,186,563,0
77,2020-04-07,10331,192,567,0
78,2020-04-08,10384,200,578,2
79,2020-04-09,10423,204,590,2
80,2020-04-10,10450,208,595,2
81,2020-04-11,10480,211,599,2
82,2020-04-12,10512,214,602,2
83,2020-04-13,10537,217,610,2
84,2020-04-14,10564,222,612,2
