date,total_cases,total_death,seoul_cases,seoul_death,close,open,volume,ticker,label
2020-01-21,1,0,0,0,148000,148500,89682,011070,0.0
2020-01-22,1,0,0,0,148000,148000,110366,011070,0.5
2020-01-23,1,0,0,0,152500,147000,173243,011070,0.0
2020-01-24,2,0,0,0,0,0,0,0,0.0
2020-01-25,2,0,0,0,0,0,0,0,0.0
2020-01-26,2,0,0,0,0,0,0,0,0.0
2020-01-27,4,0,0,0,0,0,0,0,0.0
2020-01-28,4,0,0,0,151500,147000,234923,011070,0.4844444444444445
2020-01-29,4,0,0,0,158000,154500,388880,011070,0.4814285714285714
2020-01-30,7,0,0,0,155500,160000,360798,011070,0.5
2020-01-31,11,0,0,0,152000,156500,245518,011070,0.5
2020-02-01,12,0,0,0,0,0,0,0,0.5
2020-02-02,15,0,0,0,0,0,0,0,0.43
2020-02-03,15,0,0,0,150500,149000,353483,011070,0.0
2020-02-04,16,0,0,0,155000,148000,350711,011070,0.0
2020-02-05,21,0,0,0,152000,156000,311516,011070,0.0
2020-02-06,24,0,0,0,156000,154000,218885,011070,0.0
2020-02-07,24,0,0,0,150500,153500,218071,011070,0.0
2020-02-08,24,0,0,0,0,0,0,0,0.0
2020-02-09,27,0,0,0,0,0,0,0,0.0
2020-02-10,27,0,0,0,147000,148500,259021,011070,0.0
2020-02-11,28,0,0,0,151000,149500,216429,011070,0.0
2020-02-12,28,0,0,0,151000,151000,142227,011070,0.5
2020-02-13,28,0,0,0,154000,153500,331103,011070,0.48
2020-02-14,28,0,0,0,155000,156000,187280,011070,0.0
2020-02-15,28,0,0,0,0,0,0,0,0.0
2020-02-16,29,0,0,0,0,0,0,0,0.5
2020-02-17,30,0,14,0,155500,155000,151171,011070,0.0
2020-02-18,39,0,14,0,148500,154000,365652,011070,0.5
2020-02-19,46,0,15,0,149500,149000,220579,011070,0.0
2020-02-20,104,1,22,0,147000,151000,212373,011070,0.0
2020-02-21,204,1,27,0,149000,144000,143556,011070,0.0
2020-02-22,433,3,30,0,0,0,0,0,0.0
2020-02-23,608,6,31,0,0,0,0,0,0.0
2020-02-24,843,7,35,0,144000,145000,164505,011070,0.0
2020-02-25,977,10,41,0,146500,143000,220457,011070,0.0
2020-02-26,1261,12,49,0,145000,142500,168676,011070,0.0
2020-02-27,1766,13,56,0,143500,143500,157807,011070,0.5
2020-02-28,2337,13,62,0,130000,139500,551339,011070,0.0
2020-02-29,3150,17,77,0,0,0,0,0,0.0
2020-03-01,3736,18,87,0,0,0,0,0,0.4906666666666666
2020-03-02,4212,22,91,0,137500,130500,358597,011070,0.5
2020-03-03,4812,28,98,0,136000,143500,321236,011070,0.5
2020-03-04,5328,32,99,0,136000,132500,204531,011070,0.5
2020-03-05,5766,35,103,0,140000,140000,313252,011070,0.5
2020-03-06,6284,44,105,0,136000,138000,154251,011070,0.5
2020-03-07,6767,44,108,0,0,0,0,0,0.0
2020-03-08,7134,50,120,0,0,0,0,0,0.43
2020-03-09,7382,51,130,0,126000,132000,368951,011070,0.0
2020-03-10,7513,54,141,0,127500,123500,489480,011070,0.0
2020-03-11,7755,60,193,0,120500,127000,314863,011070,0.43
