date,close,up/down,pastday,open,high,low,volume
2020-10-05,187000,1,8500,183000,187500,181500,2707275
2020-09-29,178500,1,3000,178500,180000,177500,1475249
2020-09-28,175500,1,5500,173000,176000,172000,1374871
2020-09-25,170000,0,1500,172500,174000,166000,2076987
2020-09-24,171500,0,8000,173500,176000,171000,2841908
2020-09-23,179500,2,0,183000,183000,170000,3481682
2020-09-22,179500,0,5500,185000,186000,178000,3042046
2020-09-21,185000,1,4000,181000,188500,180500,3133848
2020-09-18,181000,0,3000,184000,186000,179000,2584103
2020-09-17,184000,1,500,185500,191500,183000,4383978
2020-09-16,183500,1,4500,179500,186000,177000,3401835
2020-09-15,179000,0,1000,184000,185000,178500,2644009
2020-09-14,180000,1,8500,174500,180000,174000,3145262
2020-09-11,171500,1,2500,167500,171500,167500,1538378
2020-09-10,169000,1,1500,170500,171500,168000,1326177
2020-09-09,167500,0,500,166500,172000,165500,1685225
2020-09-08,168000,0,2000,171000,172500,168000,1933504
2020-09-07,170000,0,2500,172500,173000,169000,1516649
2020-09-04,172500,0,4000,167500,174000,167500,2886867
2020-09-03,176500,1,500,177500,177500,174000,1841550
2020-09-02,176000,0,4000,178000,178500,173500,2825239
2020-09-01,180000,1,3500,178500,181000,175500,2704194
2020-08-31,176500,1,4500,177500,182000,174500,5275614
2020-08-28,172000,1,8500,165500,176500,164500,5571784
2020-08-27,163500,0,4000,169000,169500,163500,2427108
2020-08-26,167500,1,1500,166500,170000,163000,2638394
2020-08-25,166000,1,4500,167500,171000,165000,3304089
2020-08-24,161500,1,5500,157500,163000,152500,2904566
2020-08-21,156000,1,1000,158000,161500,154000,3348383
2020-08-20,155000,0,9500,163000,165500,154000,3630223
2020-08-19,164500,1,6500,158000,165500,158000,3298626
2020-08-18,158000,0,9000,163500,168000,155500,4328953
2020-08-14,167000,0,3000,171000,172000,161000,4469158
2020-08-13,170000,0,2000,175000,177500,167000,3997431
2020-08-12,172000,0,7000,174000,178500,170500,4877139
2020-08-11,179000,1,9000,171500,180500,164500,6776406
2020-08-10,170000,1,23000,151500,172500,151000,8460795
2020-08-07,147000,1,2500,145500,149500,144500,3208082
2020-08-06,144500,1,10500,136500,146000,136000,4040334
2020-08-05,134000,1,1500,133000,135500,132000,1859551
2020-08-04,132500,1,5500,129500,134000,129000,2492506
2020-08-03,127000,1,500,126500,128500,123500,1868315
2020-07-31,126500,0,1000,128000,129500,125000,1712713
2020-07-30,127500,1,2500,127000,130500,126000,2728427
2020-07-29,125000,1,2000,122500,125500,120000,1897616
2020-07-28,123000,0,500,124500,126000,122000,1765179
2020-07-27,123500,1,1000,122500,126500,122000,2046059
2020-07-24,122500,0,2000,123500,129000,121500,3908721
2020-07-23,124500,1,6000,118500,125500,116000,4505464
2020-07-22,118500,0,3000,122000,124000,118500,2395083
2020-07-21,121500,2,0,122000,124500,118000,3138553
2020-07-20,121500,1,4000,119500,125000,118000,4461527
2020-07-17,117500,1,7500,109500,119000,109500,4265529
2020-07-16,110000,1,1000,110500,113000,109000,3254530
2020-07-15,109000,1,7500,104500,110000,104000,4494730
2020-07-14,101500,2,0,101500,102000,99900,1050563
2020-07-13,101500,1,3200,99200,101500,98500,1376002
2020-07-10,98300,0,1300,99400,99500,98000,1099298
2020-07-09,99600,2,0,100000,101000,99600,922604
2020-07-08,99600,1,400,99200,101000,99100,859735
2020-07-07,99200,0,2300,103000,103500,99200,1379122
2020-07-06,101500,1,2300,99700,102500,98800,1189877
2020-07-03,99200,1,200,99900,100500,98600,569575
2020-07-02,99000,1,800,98000,99700,98000,730963
2020-07-01,98200,1,500,98500,99500,98000,640540
2020-06-30,97700,2,0,99100,99300,97700,988987
2020-06-29,97700,0,2300,97700,98700,97600,943424
2020-06-26,100000,1,600,100500,101000,99500,670161
2020-06-25,99400,0,3600,100500,101000,99400,1084453
2020-06-24,103000,1,4300,100000,103500,99800,1813817
2020-06-23,98700,1,200,99200,101000,98000,1095698
2020-06-22,98500,0,1500,99100,100000,98500,921187
2020-06-19,100000,2,0,101000,101500,99100,903928
2020-06-18,100000,0,500,99100,102000,98400,1155455
2020-06-17,100500,0,1000,100500,101000,98800,1326645
2020-06-16,101500,1,4500,99100,101500,99100,1389765
2020-06-15,97000,0,6500,102000,102500,97000,2022775
2020-06-12,103500,0,5000,101500,105000,101500,1977558
2020-06-11,108500,0,3000,110000,111000,107000,2376313
2020-06-10,111500,0,500,111000,112000,109000,1377837
2020-06-09,112000,0,1000,114000,115000,110500,1504910
2020-06-08,113000,1,2000,114000,114500,111500,1640392
2020-06-05,111000,1,2500,108000,112000,106500,2128094
2020-06-04,108500,2,0,112000,113000,105000,2823041
2020-06-03,108500,1,6000,106000,110000,105500,3118795
2020-06-02,102500,1,2500,99500,103000,98700,2155405
2020-06-01,100000,1,2000,98000,101500,98000,1908428
2020-05-29,98000,1,800,96300,99200,96300,2010414
2020-05-28,97200,0,900,99500,99600,96200,1602694
2020-05-27,98100,1,300,98700,99500,97300,1620664
2020-05-26,97800,1,1800,96000,99500,95500,2006216
2020-05-25,96000,1,1500,94900,96200,94000,1185541
2020-05-22,94500,0,2700,97100,97200,94000,1619476
2020-05-21,97200,0,100,98600,98700,96600,1471917
2020-05-20,97300,0,1800,98000,98300,96300,1828158
2020-05-19,99100,1,7200,95000,99400,94700,4564370
2020-05-18,91900,0,400,92100,92200,91000,741214
2020-05-15,92300,2,0,92000,92700,91200,822472
2020-05-14,92300,0,800,92600,92900,91500,982612
2020-05-13,93100,1,1200,90500,93100,90500,966892
2020-05-12,91900,0,1800,93200,93800,91100,1259874
2020-05-11,93700,0,800,95800,96500,93500,1889278
2020-05-08,94500,1,1900,93000,95400,93000,1749677
2020-05-07,92600,0,600,92800,93000,91800,826239
2020-05-06,93200,1,1700,93300,94200,92600,1039600
2020-05-04,91500,0,2100,91100,92900,90700,1264378
2020-04-29,93600,1,400,93500,94000,92400,1193284
2020-04-28,93200,1,1600,92500,94400,92200,1448692
2020-04-27,91600,1,1500,90300,92500,90200,1219677
2020-04-24,90100,0,2300,91300,92300,90100,2135488
2020-04-23,92400,0,200,93700,95100,92100,3196313
2020-04-22,92600,0,900,90800,95200,89400,3115871
2020-04-21,93500,0,4100,96100,96500,91300,3634142
2020-04-20,97600,0,2900,100000,100500,97100,2142176
2020-04-17,100500,1,1400,101000,103500,100000,1487879
2020-04-16,99100,0,900,98900,100500,98300,1341452
2020-04-14,100000,1,2200,98600,101500,97700,1582587
2020-04-13,97800,0,1900,98800,99000,97400,1339638
2020-04-10,99700,1,2600,97400,101500,96200,2806785
2020-04-09,97100,1,7100,92300,97900,91100,3787201
2020-04-08,90000,0,400,89800,91900,88900,1785939
2020-04-07,90400,1,1600,92100,92500,88600,2601711
2020-04-06,88800,1,2500,86500,88800,85900,1688599
2020-04-03,86300,0,300,86600,87000,85600,1170052
2020-04-02,86600,1,1200,85300,86800,83000,1487243
2020-04-01,85400,0,3300,88500,90100,85300,2139848
2020-03-31,88700,1,3300,87700,88700,86000,2138183
2020-03-30,85400,0,1000,82800,86400,82100,1743720
2020-03-27,86400,1,1500,89700,90000,84500,2513938
2020-03-26,84900,1,400,85800,90200,82300,3787074
2020-03-25,84500,1,9700,79800,85600,78800,4604452
2020-03-24,74800,1,5900,71500,75800,69800,2856282
2020-03-23,68900,0,2200,67200,71000,66200,2391540
2020-03-20,71100,1,5200,67500,72400,65000,3349914
2020-03-19,65900,0,7600,75000,75900,65100,3138004
2020-03-18,73500,0,6600,80500,81200,73500,2679420
2020-03-17,80100,0,2800,78100,83400,78100,2492208
2020-03-16,82900,0,4300,88300,89500,82900,2674557
2020-03-13,87200,0,7800,86500,90200,83500,4835445
2020-03-12,95000,0,5000,100000,100500,94500,2312355
2020-03-11,100000,0,2000,103000,103000,99700,2005654
2020-03-10,102000,0,2000,102500,105000,101000,2491487
2020-03-09,104000,0,6500,108000,108000,103500,1658544
2020-03-06,110500,0,3500,113000,113500,110000,1746834
2020-03-05,114000,1,1000,115500,116000,113000,1135241
2020-03-04,113000,1,500,112000,114000,112000,1319901
2020-03-03,112500,0,1000,116000,116500,112000,1414986
2020-03-02,113500,0,1500,116000,116000,113000,1183337
2020-02-28,115000,0,6000,118500,119000,114000,1777353
2020-02-27,121000,0,1500,122500,123500,120000,779402
2020-02-26,122500,2,0,121000,124000,120000,1001834
2020-02-25,122500,2,0,122500,124500,122000,796176
2020-02-24,122500,0,5500,124500,125000,122000,911932
2020-02-21,128000,0,2000,128000,129500,127000,686417
2020-02-20,130000,0,1500,132500,133000,129000,711858
2020-02-19,131500,0,1000,133000,134000,130500,776121
2020-02-18,132500,0,3000,134000,134500,131000,744150
2020-02-17,135500,1,2000,133500,136000,132500,555451
2020-02-14,133500,1,500,132500,135000,131500,591584
2020-02-13,133000,0,3000,137000,137500,133000,1035208
2020-02-12,136000,1,3500,132500,137500,132500,1373302
2020-02-11,132500,1,2500,131000,135000,130500,949247
2020-02-10,130000,0,1000,129500,132000,129000,669628
2020-02-07,131000,0,1000,130500,131000,127500,999598
2020-02-06,132000,1,8000,125500,133000,125500,1659774
2020-02-05,124000,2,0,125000,126000,123500,1032267
2020-02-04,124000,1,500,123500,126000,122500,1203992
2020-02-03,123500,0,1500,123000,125000,121000,1270442
2020-01-31,125000,0,2500,128500,129500,124500,1035126
2020-01-30,127500,0,3500,130000,130500,126500,1034661
2020-01-29,131000,2,0,132000,133000,129000,1318578
2020-01-28,131000,1,500,127000,132500,127000,1841752
2020-01-23,130500,1,3500,130000,131500,128000,2492785
2020-01-22,127000,1,10000,117500,127000,117500,2773421
2020-01-21,117000,0,1000,118000,118500,116500,545156
2020-01-20,118000,0,500,119500,119500,117500,445922
2020-01-17,118500,2,0,118500,120000,118000,574301
2020-01-16,118500,1,3500,117000,120000,116500,1638719
2020-01-15,115000,0,1000,116000,116000,114000,564142
2020-01-14,116000,1,1000,115500,117000,115500,739959
2020-01-13,115000,1,1500,113500,115500,113000,692917
2020-01-10,113500,1,2000,112500,114500,112000,896507
2020-01-09,111500,0,500,113000,114500,110000,1375510
2020-01-08,112000,0,3500,115000,115500,111500,1044825
2020-01-07,115500,0,500,116500,117000,115500,674196
2020-01-06,116000,2,0,116000,117000,115500,334574
2020-01-03,116000,0,2000,118500,119000,115000,1145187
2020-01-02,118000,0,2500,121000,121000,118000,556532
2019-12-30,120500,2,0,120500,121500,120000,467794
2019-12-27,120500,0,2000,121000,121000,120000,422565
2019-12-26,122500,1,500,122500,123000,121500,552469
2019-12-24,122000,0,500,123000,123000,121500,600726
2019-12-23,122500,0,1500,124000,125000,122000,1462906
2019-12-20,124000,1,500,124000,124000,122500,1001899
2019-12-19,123500,1,500,122500,123500,122000,905299
2019-12-18,123000,1,1000,122000,123500,120500,1135407
2019-12-17,122000,1,3000,119500,123000,119000,1904603
2019-12-16,119000,0,2000,120500,121000,119000,1015046
2019-12-13,121000,1,1000,121500,122500,119500,1058172
2019-12-12,120000,1,1000,119500,120500,119000,5201616
2019-12-11,119000,0,1000,120500,120500,119000,1015977
2019-12-10,120000,1,500,119500,120500,119000,784383
2019-12-09,119500,1,1000,119500,120500,119000,902113
2019-12-06,118500,1,500,118500,119500,118000,1504634
2019-12-05,118000,0,4000,121500,122500,117500,1560647
2019-12-04,122000,1,500,120000,124000,120000,1498918
2019-12-03,121500,2,0,120000,121500,119000,849994
2019-12-02,121500,1,500,121000,121500,118500,862135
2019-11-29,121000,0,3000,123500,124500,120000,1016506
2019-11-28,124000,1,500,123500,125000,123000,742295
2019-11-27,123500,1,1000,123000,124000,123000,697261
2019-11-26,122500,0,2500,124500,125500,122500,1854318
2019-11-25,125000,1,1500,124000,125500,123500,640837
2019-11-22,123500,0,1000,124000,125500,123500,707333
2019-11-21,124500,2,0,124000,124500,123000,724349
2019-11-20,124500,0,500,124500,124500,123500,593391
2019-11-19,125000,0,1000,125000,126000,124500,537780
2019-11-18,126000,1,500,125000,126000,124500,596279
2019-11-15,125500,1,1000,124500,125500,124000,469109
2019-11-14,124500,2,0,125000,125000,124000,540352
2019-11-13,124500,0,1000,125000,126000,124500,528121
2019-11-12,125500,1,2000,123500,125500,123500,598855
2019-11-11,123500,0,500,124000,124500,123500,370258
2019-11-08,124000,1,500,124000,124500,123500,335809
2019-11-07,123500,2,0,123500,124500,123000,853783
2019-11-06,123500,0,1500,125500,126000,123500,682414
2019-11-05,125000,1,1000,124000,125500,124000,471601
2019-11-04,124000,2,0,123500,125000,123000,475831
2019-11-01,124000,1,2000,121500,124000,121000,470554
2019-10-31,122000,0,500,122500,123500,121500,441488
2019-10-30,122500,2,0,122500,123000,121500,400285
2019-10-29,122500,1,1000,122000,123000,121500,797389
2019-10-28,121500,0,2000,124500,125000,121500,564300
2019-10-25,123500,1,1500,122000,124000,121500,983777
2019-10-24,122000,1,1000,121000,122500,120000,655232
2019-10-23,121000,0,1000,121500,122500,120500,511570
2019-10-22,122000,2,0,121500,122500,120000,523445
2019-10-21,122000,0,1000,124000,124000,122000,372561
2019-10-18,123000,2,0,123500,124500,122500,418395
2019-10-17,123000,2,0,123000,124500,122000,519468
2019-10-16,123000,1,1000,123000,124000,122000,433874
2019-10-15,122000,2,0,122000,123000,120500,661262
2019-10-14,122000,0,4000,125000,126000,122000,1260866
2019-10-11,126000,0,500,127000,127500,126000,369552
