date,close,up/down,pastday,open,high,low,volume
2020-10-05,370500,상승,6000,360500,370500,358000,519982
2020-09-29,364500,하락,4500,374500,375000,364000,612054
2020-09-28,369000,상승,17500,356500,372000,354000,674705
2020-09-25,351500,하락,500,356000,358000,346500,449701
2020-09-24,352000,하락,13500,361000,361500,351000,763638
2020-09-23,365500,상승,12500,358500,367000,353000,930394
2020-09-22,353000,하락,11500,361000,369000,351000,880318
2020-09-21,364500,하락,8500,371500,374000,364000,530255
2020-09-18,373000,상승,2000,369000,377000,366000,495271
2020-09-17,371000,하락,6000,373500,374000,369000,617702
2020-09-16,377000,하락,4000,384000,384500,377000,485743
2020-09-15,381000,상승,7500,371000,385000,369000,860038
2020-09-14,373500,하락,5500,377000,378000,369000,830231
2020-09-11,379000,하락,6500,382000,384000,375500,792840
2020-09-10,385500,상승,1500,392000,396500,384000,936708
2020-09-09,384000,하락,6000,381500,388000,379000,935573
2020-09-08,390000,하락,2000,393500,398500,380500,1020539
2020-09-07,392000,하락,10000,401500,401500,391000,928939
2020-09-04,402000,하락,8000,390000,404500,389500,1168529
2020-09-03,410000,하락,2000,415500,416000,404000,739215
2020-09-02,412000,상승,10500,405500,412500,401500,921655
2020-09-01,401500,하락,5500,413500,416000,400000,1100736
2020-08-31,407000,상승,1500,410500,420500,401000,1629751
2020-08-28,405500,하락,5000,413500,416000,400000,1506996
2020-08-27,410500,상승,18500,396500,413000,396000,1981840
2020-08-26,392000,상승,11000,380500,394000,378000,1351029
2020-08-25,381000,상승,1000,384500,385000,377000,887733
2020-08-24,380000,상승,10000,374500,382500,367500,969648
2020-08-21,370000,상승,5500,370000,373500,362000,1021460
2020-08-20,364500,하락,12000,376000,383000,359500,1686740
2020-08-19,376500,하락,1500,384500,385000,372000,1359266
2020-08-18,378000,상승,15500,371500,389500,367500,3032037
2020-08-14,362500,상승,2000,361000,366000,358000,825802
2020-08-13,360500,상승,6500,359000,365000,356500,1117859
2020-08-12,354000,상승,1500,348500,356500,347500,729434
2020-08-11,352500,하락,3500,351500,357000,347500,750285
2020-08-10,356000,상승,3000,346000,358500,341500,1086391
2020-08-07,353000,하락,11000,368000,370000,350500,1899111
2020-08-06,364000,하락,6500,358500,372500,357500,1848898
2020-08-05,370500,상승,500,366000,371000,362500,1075879
2020-08-04,370000,상승,4000,378500,384000,361000,1714642
2020-08-03,366000,상승,22500,347500,366000,347000,1636803
2020-07-31,343500,상승,11500,336000,344000,335500,1078837
2020-07-30,332000,상승,500,336000,337000,331500,615872
2020-07-29,331500,상승,2000,329000,333000,325000,618435
2020-07-28,329500,상승,3000,332000,336000,328500,873063
2020-07-27,326500,상승,2000,321000,329500,320500,603322
2020-07-24,324500,하락,5000,325000,333000,322000,907643
2020-07-23,329500,상승,11500,316500,329500,315000,1260435
2020-07-22,318000,상승,2000,310500,321500,306000,1159298
2020-07-21,316000,상승,6000,323500,326000,311500,1676630
2020-07-20,310000,하락,15000,325000,325000,310000,1534422
2020-07-17,325000,상승,3000,319000,327000,314000,1268587
2020-07-16,322000,하락,15500,332000,335500,319000,1941508
2020-07-15,337500,하락,5500,344000,349500,332000,1487417
2020-07-14,343000,하락,9000,340500,346500,340000,1212519
2020-07-13,352000,하락,3500,359000,361000,345000,1391744
2020-07-10,355500,동일,0,351000,368000,345500,2566935
2020-07-09,355500,상승,27500,335000,355500,332000,2463503
2020-07-08,328000,상승,17500,312000,328000,305000,1869663
2020-07-07,310500,상승,10000,306500,318000,304000,1552820
2020-07-06,300500,상승,6500,298000,307500,297000,1344851
2020-07-03,294000,상승,8500,289500,297000,284000,1604493
2020-07-02,285500,상승,16000,273500,285500,273000,1378545
2020-07-01,269500,상승,2000,271500,275000,267500,578023
2020-06-30,267500,동일,0,272000,273000,267500,624089
2020-06-29,267500,하락,7000,269000,273500,266000,778818
2020-06-26,274500,동일,0,279500,280000,268000,812726
2020-06-25,274500,하락,8000,278500,282000,273500,900258
2020-06-24,282500,상승,1000,281500,284000,275000,1081233
2020-06-23,281500,상승,7500,279000,289000,277000,2166267
2020-06-22,274000,상승,10500,263500,276000,260500,2008656
2020-06-19,263500,동일,0,267500,269500,262000,920126
2020-06-18,263500,상승,500,264500,267000,260500,981144
2020-06-17,263000,동일,0,261500,268000,258000,1162204
2020-06-16,263000,상승,10500,260500,263000,258000,915456
2020-06-15,252500,하락,13500,266000,271000,250000,1549230
2020-06-12,266000,상승,1000,256500,268000,256000,1688975
2020-06-11,265000,상승,3000,264000,268000,261000,1724551
2020-06-10,262000,상승,7500,256500,263500,256500,1575452
2020-06-09,254500,하락,2000,255500,259500,252500,834862
2020-06-08,256500,상승,5500,252500,258000,248500,1417078
2020-06-05,251000,하락,3000,253000,253500,247500,1007264
2020-06-04,254000,상승,4500,247500,257000,247000,1228950
2020-06-03,249500,하락,10000,259500,261500,247500,2302391
2020-06-02,259500,하락,4500,262500,263000,257000,978846
2020-06-01,264000,상승,500,263500,266000,259500,1083698
2020-05-29,263500,하락,3500,263500,267500,257500,1645822
2020-05-28,267000,상승,6500,257500,270000,252500,2495048
2020-05-27,260500,하락,9500,262000,267000,257000,2015974
2020-05-26,270000,상승,2000,273500,279500,261000,3274293
2020-05-25,268000,상승,21000,251000,270000,249000,2653776
2020-05-22,247000,상승,9500,237500,248500,235000,1887064
2020-05-21,237500,상승,6000,237500,240000,234500,1408737
2020-05-20,231500,상승,11500,223500,234500,222000,1773960
2020-05-19,220000,하락,1000,221500,222500,214000,1308903
2020-05-18,221000,하락,500,221500,225500,218500,744533
2020-05-15,221500,하락,3500,228500,231500,216000,1524083
2020-05-14,225000,상승,8500,216000,228000,214000,1459813
2020-05-13,216500,상승,2000,211500,216500,211500,1113608
2020-05-12,214500,상승,7000,209000,216500,206000,1563095
2020-05-11,207500,상승,1500,207000,211500,206500,1048413
2020-05-08,206000,동일,0,206500,210000,204000,1405404
2020-05-07,206000,상승,6500,199500,207500,198500,2629709
2020-05-06,199500,상승,13000,189000,200000,188000,2035947
2020-05-04,186500,상승,2500,181500,190000,180000,1019409
2020-04-29,184000,하락,1000,184000,186500,182500,659512
2020-04-28,185000,상승,1000,185500,186500,181500,668638
2020-04-27,184000,상승,1000,183000,187000,181500,721963
2020-04-24,183000,하락,2500,184500,188500,182000,1073684
2020-04-23,185500,상승,8500,181500,186500,180500,1509799
2020-04-22,177000,상승,1500,174000,177000,171500,686146
2020-04-21,175500,상승,500,176500,177500,168500,1232126
2020-04-20,175000,상승,3000,172500,179000,172000,859303
2020-04-17,172000,상승,6500,169000,172500,167500,947794
2020-04-16,165500,상승,6000,159000,167000,158500,1005533
2020-04-14,159500,상승,2000,159500,160500,158000,430759
2020-04-13,157500,하락,3500,161000,161000,157000,470251
2020-04-10,161000,상승,3000,158500,161500,157000,753323
2020-04-09,158000,동일,0,161000,161000,157500,726920
2020-04-08,158000,하락,2000,159000,160500,158000,738303
2020-04-07,160000,하락,500,163500,164500,158500,920798
2020-04-06,160500,상승,3000,158500,161000,157500,807805
2020-04-03,157500,상승,500,158500,159000,155000,545749
2020-04-02,157000,상승,6500,152000,157000,149000,1043790
2020-04-01,150500,하락,5000,156000,158500,150000,794295
2020-03-31,155500,상승,2500,155000,159000,152000,1042474
2020-03-30,153000,상승,500,149500,154500,147500,668254
2020-03-27,152500,상승,2000,156500,157000,149000,958988
2020-03-26,150500,하락,4000,155000,156000,150000,893688
2020-03-25,154500,동일,0,160500,162500,151000,1290376
2020-03-24,154500,상승,11000,150500,155000,147000,1271387
2020-03-23,143500,하락,6000,138000,148000,137500,1569378
2020-03-20,149500,상승,15500,138000,151000,134500,1765756
2020-03-19,134000,하락,7000,145500,147000,127500,2157141
2020-03-18,141000,하락,6500,148500,152000,140500,1107527
2020-03-17,147500,동일,0,141000,150500,140000,1221046
2020-03-16,147500,하락,11500,162000,164000,147500,1252484
2020-03-13,159000,하락,2000,150000,161500,145000,1601985
2020-03-12,161000,하락,8000,167000,169000,158500,1218070
2020-03-11,169000,하락,4000,172000,174500,167000,550227
2020-03-10,173000,상승,5500,164500,174500,164000,950875
2020-03-09,167500,하락,8000,171000,171500,166000,805638
2020-03-06,175500,하락,4000,176500,178500,174000,568424
2020-03-05,179500,동일,0,182500,183000,176500,821744
2020-03-04,179500,상승,4500,174000,181000,174000,709188
2020-03-03,175000,동일,0,180500,181000,175000,629017
2020-03-02,175000,상승,3000,174500,176500,169500,793495
2020-02-28,172000,하락,6500,174500,176500,170500,1022917
2020-02-27,178500,하락,5500,184000,185500,176500,785062
2020-02-26,184000,하락,1500,183500,185500,181500,516378
2020-02-25,185500,상승,2000,182000,186000,180000,596763
2020-02-24,183500,하락,6000,184500,186000,182000,792733
2020-02-21,189500,하락,1000,188500,191500,187500,558497
2020-02-20,190500,상승,500,190500,191500,188000,547405
2020-02-19,190000,상승,8000,184000,190500,183500,1362998
2020-02-18,182000,상승,1500,180500,183500,179000,587253
2020-02-17,180500,상승,500,180000,182000,179000,329408
2020-02-14,180000,상승,1000,181000,184500,179000,948085
2020-02-13,179000,상승,7000,174500,181500,173500,1877980
2020-02-12,172000,상승,2000,169500,172000,168000,407917
2020-02-11,170000,상승,1000,169000,170000,168000,307120
2020-02-10,169000,상승,1500,167500,169500,166000,375209
2020-02-07,167500,상승,1500,167000,170500,166000,522100
2020-02-06,166000,상승,3000,165500,168000,163500,552044
2020-02-05,163000,하락,1500,166500,167000,161500,456954
2020-02-04,164500,상승,5000,161500,165500,160500,394773
2020-02-03,159500,상승,500,156000,160500,156000,423907
2020-01-31,159000,하락,3000,162500,164000,158500,346067
2020-01-30,162000,하락,1500,163000,165500,160500,418908
2020-01-29,163500,상승,1000,165500,166000,162500,255167
2020-01-28,162500,하락,3000,160000,163500,159500,513228
2020-01-23,165500,하락,500,168000,168000,164500,323420
2020-01-22,166000,상승,1000,166000,169000,164500,504350
2020-01-21,165000,하락,3500,168500,169000,163500,389155
2020-01-20,168500,동일,0,169000,170000,167000,380510
2020-01-17,168500,하락,3000,171500,172500,168000,354724
2020-01-16,171500,상승,1500,170000,172000,170000,260049
2020-01-15,170000,상승,3000,167000,170500,166500,462119
2020-01-14,167000,동일,0,167500,168500,165500,423286
2020-01-13,167000,상승,2000,165500,167500,165000,475667
2020-01-10,165000,상승,1000,165000,166500,163000,401906
2020-01-09,164000,상승,4500,163500,165500,162500,878319
2020-01-08,159500,하락,500,158500,162000,156500,851619
2020-01-07,160000,상승,5500,155000,160000,154500,840186
2020-01-06,154500,상승,2000,150500,155000,150000,393715
2020-01-03,152500,동일,0,153500,155000,151000,314848
2020-01-02,152500,하락,1000,154000,154500,152000,241047
2019-12-30,153500,동일,0,154000,155000,153000,428587
2019-12-27,153500,상승,5500,149500,154000,149000,690548
2019-12-26,148000,상승,1500,146000,148000,146000,320921
2019-12-24,146500,하락,2000,148000,150000,144500,367817
2019-12-23,148500,하락,1500,151000,151000,148000,283403
2019-12-20,150000,동일,0,150000,153000,149500,545445
2019-12-19,150000,하락,1000,150500,151000,149000,175849
2019-12-18,151000,상승,500,150500,152000,149500,252752
2019-12-17,150500,하락,1000,151500,152000,149500,275832
2019-12-16,151500,상승,500,151000,152000,150000,297095
2019-12-13,151000,상승,1500,150500,151000,148500,456822
2019-12-12,149500,하락,500,151000,151500,149000,710378
2019-12-11,150000,상승,500,150500,150500,147500,480071
2019-12-10,149500,하락,2000,150000,151500,147000,516074
2019-12-09,151500,하락,2000,154000,154500,151000,267330
2019-12-06,153500,상승,4000,149000,154000,149000,415390
2019-12-05,149500,하락,6500,155500,156000,148500,841460
2019-12-04,156000,하락,1000,156000,156000,154500,233141
2019-12-03,157000,상승,500,155500,157000,154000,235453
2019-12-02,156500,상승,1000,156000,156500,153500,250192
2019-11-29,155500,하락,1500,156000,159000,153500,471253
2019-11-28,157000,하락,500,156500,157500,155500,218221
2019-11-27,157500,동일,0,158500,159000,156500,294619
2019-11-26,157500,상승,1000,157000,158500,156500,361401
2019-11-25,156500,상승,3500,153500,156500,153500,300270
2019-11-22,153000,하락,1000,153000,155500,152000,335038
2019-11-21,154000,하락,2500,156500,157000,151000,666854
2019-11-20,156500,동일,0,156000,159000,155500,332676
2019-11-19,156500,하락,1000,157500,157500,155500,323233
2019-11-18,157500,상승,2000,155500,158000,155500,372362
2019-11-15,155500,상승,1000,154500,155500,153500,281084
2019-11-14,154500,상승,1000,154500,155000,152000,651414
2019-11-13,153500,동일,0,152500,154000,151000,376959
2019-11-12,153500,하락,500,154000,154500,152000,396292
2019-11-11,154000,상승,2000,153000,155000,152000,509809
2019-11-08,152000,상승,1000,152000,155000,151000,900774
2019-11-07,151000,동일,0,152000,154500,147000,1222184
2019-11-06,151000,상승,2500,149000,151000,148000,516744
2019-11-05,148500,상승,2000,146000,149000,145500,502806
2019-11-04,146500,상승,1000,146500,147500,145500,436509
2019-11-01,145500,상승,4000,142500,146000,142000,717046
2019-10-31,141500,상승,3500,139000,144000,138500,726151
2019-10-30,138000,하락,1500,140500,140500,137500,251362
2019-10-29,139500,하락,500,141500,142000,138000,367213
2019-10-28,140000,동일,0,142000,145000,139500,665988
2019-10-25,140000,상승,500,140000,141000,139500,196552
2019-10-24,139500,하락,500,140500,142000,139000,490092
2019-10-23,140000,상승,4000,136000,140000,135500,1045771
2019-10-22,136000,상승,2500,134000,136000,134000,337570
2019-10-21,133500,상승,1000,132500,134000,131000,214102
2019-10-18,132500,상승,2000,131000,133500,131000,332984
2019-10-17,130500,하락,1500,131500,132500,129000,618170
2019-10-16,132000,하락,2000,134000,134500,128500,753513
2019-10-15,134000,하락,500,135000,135000,133000,190243
2019-10-14,134500,하락,500,136000,136500,134000,317555
2019-10-11,135000,하락,1500,136500,137500,134500,238584
2019-10-10,136500,상승,2000,133000,137000,132500,694345
2019-10-08,134500,동일,0,134500,135000,133500,224907
2019-10-07,134500,상승,1000,134000,135000,133000,344020
2019-10-04,133500,하락,2000,134500,136000,133500,238417
2019-10-02,135500,하락,2000,136500,137000,135500,152309
2019-10-01,137500,상승,2000,136000,138000,136000,252319
2019-09-30,135500,동일,0,134500,136000,134000,202006
2019-09-27,135500,하락,1000,136500,136500,134500,168760
2019-09-26,136500,상승,500,137000,137500,135000,210766
2019-09-25,136000,하락,2000,137500,138500,136000,301919
2019-09-24,138000,상승,3500,135000,138000,134500,466753
2019-09-23,134500,하락,1000,135000,136500,134500,207227
2019-09-20,135500,동일,0,135500,135500,133000,358235
2019-09-19,135500,하락,1500,136500,137500,135000,242822
2019-09-18,137000,상승,5000,133000,137000,133000,684630
2019-09-17,132000,동일,0,132000,134000,132000,326141
2019-09-16,132000,하락,1000,134500,135000,131000,413424
2019-09-11,133000,하락,2500,135500,136000,133000,734465
2019-09-10,135500,상승,2500,133000,135500,132500,310565
2019-09-09,133000,하락,3000,135000,135500,132000,673204
2019-09-06,136000,상승,1000,135000,136500,135000,191271
2019-09-05,135000,하락,3500,138000,139000,134500,598646
2019-09-04,138500,상승,1000,137000,139000,136500,431250
2019-09-03,137500,상승,500,137500,138000,136000,291503
2019-09-02,137000,상승,2500,134000,137500,133500,575791
2019-08-30,134500,상승,1500,134000,135500,134000,402408
2019-08-29,133000,하락,500,133000,133500,131000,351957
2019-08-28,133500,하락,500,134000,135000,132500,255507
2019-08-27,134000,상승,1500,133500,135000,133000,499775
2019-08-26,132500,하락,500,130000,133000,129500,374958
2019-08-23,133000,동일,0,132000,133500,130500,414033
2019-08-22,133000,상승,1500,131500,135000,131500,597184
2019-08-21,131500,하락,500,131000,133000,130500,284628
2019-08-20,132000,상승,1500,131000,132000,129500,369383
2019-08-19,130500,상승,1000,130500,131500,129500,222446
2019-08-16,129500,하락,1000,129500,130000,128000,300046
2019-08-14,130500,하락,1000,133000,133000,129000,338519
2019-08-13,131500,상승,1500,130000,132500,129000,361927
2019-08-12,130000,하락,2000,133000,133500,129500,265084
2019-08-09,132000,상승,5000,128000,133000,127500,780515
2019-08-08,127000,상승,3500,128000,129000,125500,956084
2019-08-07,123500,상승,1500,124500,125000,121500,424495
2019-08-06,122000,하락,500,118500,124500,117500,714349
2019-08-05,122500,하락,6000,128000,129000,121500,597268
2019-08-02,128500,상승,2000,126000,130000,123500,444403
2019-08-01,126500,하락,500,126000,128500,125500,249194
2019-07-31,127000,상승,1000,125000,128000,124500,294609
2019-07-30,126000,하락,3000,128500,129500,126000,467439
2019-07-29,129000,하락,2000,130000,132000,128000,368682
2019-07-26,131000,동일,0,129000,132000,127000,701403
2019-07-25,131000,하락,5000,136000,136000,128000,1295817
2019-07-24,136000,동일,0,136000,138000,134000,692256
2019-07-23,136000,상승,2000,134000,136500,133000,469494
2019-07-22,134000,하락,1000,134500,136000,133500,408551
2019-07-19,135000,상승,3500,132000,135500,131500,656218
2019-07-18,131500,상승,500,130500,132500,130500,170819
2019-07-17,131000,하락,2000,132000,132500,129500,328637
2019-07-16,133000,동일,0,133500,134000,132000,323628
2019-07-15,133000,상승,1500,132500,136000,131000,783546
2019-07-12,131500,상승,1000,131000,132500,129500,300566
2019-07-11,130500,하락,500,131000,133000,130500,525918
