date,close,up/down,pastday,open,high,low,volume
2020-10-05,655000,1,1000,670000,670000,648000,309752
2020-09-29,654000,1,28000,659000,660000,636000,677451
2020-09-28,626000,0,1000,636000,639000,616000,367111
2020-09-25,627000,1,16000,621000,630000,604000,493489
2020-09-24,611000,0,19000,619000,643000,610000,872924
2020-09-23,630000,0,9000,660000,662000,604000,1271568
2020-09-22,639000,1,12000,646000,659000,633000,1209481
2020-09-21,627000,0,39000,656000,657000,626000,1239438
2020-09-18,666000,1,21000,653000,677000,650000,1775061
2020-09-17,645000,0,42000,671000,687000,625000,3408145
2020-09-16,687000,0,39000,730000,732000,685000,958233
2020-09-15,726000,1,14000,722000,728000,710000,435166
2020-09-14,712000,1,7000,707000,715000,696000,327850
2020-09-11,705000,0,8000,707000,709000,695000,361882
2020-09-10,713000,1,14000,716000,716000,699000,541097
2020-09-09,699000,0,10000,682000,704000,682000,575376
2020-09-08,709000,0,11000,720000,727000,697000,811834
2020-09-07,720000,0,23000,743000,743000,718000,635302
2020-09-04,743000,0,25000,734000,751000,734000,773517
2020-09-03,768000,1,26000,756000,774000,756000,690256
2020-09-02,742000,0,1000,743000,747000,728000,462821
2020-09-01,743000,1,3000,741000,753000,723000,645681
2020-08-31,740000,0,19000,763000,775000,731000,835300
2020-08-28,759000,0,3000,767000,776000,751000,496857
2020-08-27,762000,1,5000,774000,785000,759000,1060767
2020-08-26,757000,1,44000,718000,768000,716000,1094918
2020-08-25,713000,1,11000,712000,714000,703000,450237
2020-08-24,702000,1,3000,695000,708000,687000,574924
2020-08-21,699000,1,32000,676000,709000,676000,1078744
2020-08-20,667000,0,16000,681000,697000,662000,841507
2020-08-19,683000,0,7000,708000,710000,677000,746732
2020-08-18,690000,0,10000,689000,722000,673000,1051815
2020-08-14,700000,0,37000,716000,724000,695000,1160403
2020-08-13,737000,0,4000,758000,776000,722000,970866
2020-08-12,741000,0,17000,746000,764000,740000,673527
2020-08-11,758000,1,38000,715000,771000,708000,1087515
2020-08-10,720000,0,26000,747000,748000,716000,1035305
2020-08-07,746000,1,66000,680000,758000,680000,1399982
2020-08-06,680000,1,10000,672000,688000,659000,634951
2020-08-05,670000,1,28000,640000,681000,637000,917661
2020-08-04,642000,1,7000,652000,665000,635000,894736
2020-08-03,635000,1,67000,578000,650000,577000,1715295
2020-07-31,568000,1,38000,541000,580000,532000,1376453
2020-07-30,530000,1,3000,530000,533000,523000,244581
2020-07-29,527000,0,1000,527000,538000,523000,315710
2020-07-28,528000,1,11000,526000,532000,521000,372041
2020-07-27,517000,1,1000,509000,520000,509000,257568
2020-07-24,516000,0,16000,521000,526000,513000,406633
2020-07-23,532000,1,5000,535000,535000,522000,270382
2020-07-22,527000,0,4000,524000,529000,516000,332150
2020-07-21,531000,1,20000,525000,537000,522000,489307
2020-07-20,511000,0,5000,518000,519000,506000,318383
2020-07-17,516000,0,7000,516000,522000,505000,540426
2020-07-16,523000,0,21000,547000,547000,520000,504937
2020-07-15,544000,1,10000,539000,546000,536000,341645
2020-07-14,534000,0,13000,535000,545000,531000,441154
2020-07-13,547000,1,18000,540000,548000,531000,368579
2020-07-10,529000,0,10000,544000,548000,527000,470969
2020-07-09,539000,1,26000,515000,549000,512000,819218
2020-07-08,513000,0,3000,518000,521000,509000,358194
2020-07-07,516000,1,7000,525000,531000,515000,630054
2020-07-06,509000,1,2000,507000,511000,498500,317805
2020-07-03,507000,1,11000,509000,515000,502000,443404
2020-07-02,496000,1,4500,495000,496500,487500,362498
2020-07-01,491500,1,1000,499000,503000,491000,357203
2020-06-30,490500,1,1000,501000,502000,487500,443059
2020-06-29,489500,0,11500,492000,501000,486000,454763
2020-06-26,501000,1,2000,508000,509000,488500,473636
2020-06-25,499000,0,17000,506000,513000,499000,551096
2020-06-24,516000,1,12000,514000,520000,510000,391402
2020-06-23,504000,0,2000,512000,518000,500000,516968
2020-06-22,506000,0,6000,510000,519000,502000,509229
2020-06-19,512000,1,21000,499500,512000,488000,738862
2020-06-18,491000,0,500,491500,494500,481500,509457
2020-06-17,491500,1,4000,484000,512000,481500,1390544
2020-06-16,487500,1,59500,445000,487500,444000,1156149
2020-06-15,428000,0,34000,455000,460500,428000,851192
2020-06-12,462000,0,1000,436500,466000,436000,1007453
2020-06-11,463000,1,23000,447000,469500,446000,1250374
2020-06-10,440000,1,7500,432500,442000,429500,535589
2020-06-09,432500,0,1500,439000,441500,425500,609988
2020-06-08,434000,2,0,440000,446000,432000,684281
2020-06-05,434000,1,16500,421500,434000,421000,865564
2020-06-04,417500,1,17000,400500,420000,399500,966577
2020-06-03,400500,1,5500,399000,401500,395000,474692
2020-06-02,395000,0,1000,400000,402000,393000,390982
2020-06-01,396000,1,5500,391000,401000,389500,401656
2020-05-29,390500,1,2000,381500,391000,381500,526505
2020-05-28,388500,0,7000,403000,404000,380000,842769
2020-05-27,395500,0,18500,406000,412000,394500,622426
