date,close,up/down,pastday,open,high,low,volume
2020-10-05,298500,1,2000,297500,299000,289500,905323
2020-09-29,296500,0,2000,303000,303000,294000,765489
2020-09-28,298500,1,3500,297000,302000,296000,724465
2020-09-25,295000,1,1000,296000,297500,289500,648182
2020-09-24,294000,0,2500,291500,295500,287000,848971
2020-09-23,296500,1,12000,290000,298000,285500,984136
2020-09-22,284500,0,7500,290500,295000,282000,864846
2020-09-21,292000,0,6000,297000,301500,292000,656024
2020-09-18,298000,0,2500,299500,302000,296000,750488
2020-09-17,300500,0,6500,302500,304000,299000,823516
2020-09-16,307000,0,5000,311500,312000,306000,696219
2020-09-15,312000,1,9000,304000,314000,303000,797985
2020-09-14,303000,0,3000,307500,308000,300000,608816
2020-09-11,306000,0,1500,302500,307000,301000,517023
2020-09-10,307500,1,3000,309000,311000,305000,834946
2020-09-09,304500,0,6500,303000,307000,300000,925825
2020-09-08,311000,0,3500,316000,318000,305500,989171
2020-09-07,314500,0,14000,325500,325500,313500,1308247
2020-09-04,328500,0,10500,322500,335000,322000,1174337
2020-09-03,339000,1,6500,333500,339500,329500,776547
2020-09-02,332500,1,8000,332500,335500,327000,808064
2020-09-01,324500,1,2000,322500,329500,322000,691864
2020-08-31,322500,0,10500,336500,340000,322000,1528978
2020-08-28,333000,0,4000,337000,338500,329500,969408
2020-08-27,337000,1,3000,337000,347000,336500,1232239
2020-08-26,334000,1,9000,321500,338500,321000,1155853
2020-08-25,325000,1,5000,323000,325000,317000,897649
2020-08-24,320000,1,7500,313000,320000,310000,783392
2020-08-21,312500,1,7000,311500,314500,308000,781961
2020-08-20,305500,0,9500,315000,319000,302500,1186809
2020-08-19,315000,1,7500,311500,316000,305500,941038
2020-08-18,307500,1,2500,307500,317500,305000,1494966
2020-08-14,305000,0,2000,305000,308500,303000,608156
2020-08-13,307000,1,2000,310000,311500,304000,1406370
2020-08-12,305000,0,6500,308000,311000,303500,856711
2020-08-11,311500,0,2000,311000,314500,307500,665863
2020-08-10,313500,0,500,308500,314500,303500,968592
2020-08-07,314000,0,8000,324500,325500,312000,1063254
2020-08-06,322000,1,8500,313000,322000,310500,1032045
2020-08-05,313500,1,2500,312000,314500,306500,809939
2020-08-04,311000,0,3500,317500,322000,307500,1330818
2020-08-03,314500,1,13500,301500,314500,299000,1341104
2020-07-31,301000,1,7000,299000,303000,296500,1567503
2020-07-30,294000,1,2000,296000,297500,291000,1150474
2020-07-29,292000,1,4000,286000,292000,283000,964066
2020-07-28,288000,1,3500,289500,292000,284000,978238
2020-07-27,284500,1,3500,281000,287500,276500,691075
2020-07-24,281000,0,3000,281000,290500,278500,1233584
2020-07-23,284000,1,14000,272000,284000,271000,1396607
2020-07-22,270000,2,0,264000,272500,261500,905784
2020-07-21,270000,1,7000,273000,273500,269000,1179638
2020-07-20,263000,0,13000,276500,278000,260500,1556415
2020-07-17,276000,1,3000,270000,279500,266000,926932
2020-07-16,273000,0,13500,283000,285000,272000,1338814
2020-07-15,286500,0,500,290500,293000,280500,1276196
2020-07-14,287000,0,10000,290000,291000,285000,1360849
2020-07-13,297000,0,2000,303500,303500,288000,1254800
2020-07-10,299000,1,11500,291500,308500,290000,2120904
2020-07-09,287500,1,5000,286500,296500,284500,2006662
2020-07-08,282500,1,3000,280000,284500,274000,1353345
