date,close,up/down,pastday,open,high,low,volume
2020-10-05,58700,1,500,57500,59200,57500,19538236
2020-09-29,58200,2,0,58300,59000,58200,15503563
2020-09-28,58200,1,300,58300,58800,57900,12614080
2020-09-25,57900,1,100,57700,58200,57700,11444683
2020-09-24,57800,0,800,57700,58600,57600,17564020
2020-09-23,58600,1,400,58400,58800,57400,20111398
2020-09-22,58200,0,1000,59100,59700,57800,20830381
2020-09-21,59200,0,100,59100,60000,59000,15140387
2020-09-18,59300,0,200,59800,59900,59100,18884571
2020-09-17,59500,0,1500,60700,60800,59300,25108356
2020-09-16,61000,2,0,61100,61300,60600,17041444
2020-09-15,61000,1,600,60900,61000,60500,17877075
2020-09-14,60400,1,1400,60200,60800,59900,20648281
2020-09-11,59000,0,200,59300,59400,58200,16017098
2020-09-10,59200,1,800,59900,60000,59100,29923293
2020-09-09,58400,0,300,58200,59300,57800,30597399
2020-09-08,58700,1,2200,57400,58700,57200,31517520
2020-09-07,56500,1,900,56100,57300,55800,18685880
2020-09-04,55600,0,800,55200,55800,55100,22139109
2020-09-03,56400,1,2000,55600,56700,55500,28384920
2020-09-02,54400,1,200,54600,55100,54100,16905723
2020-09-01,54200,1,200,54100,54800,54100,19363117
2020-08-31,54000,0,1400,56000,56100,54000,32671367
2020-08-28,55400,0,200,56100,56300,55400,14619888
2020-08-27,55600,0,800,56300,56300,55600,16196568
2020-08-26,56400,2,0,56400,56500,55700,17651593
2020-08-25,56400,1,300,56400,56800,56100,14021705
2020-08-24,56100,1,200,55800,56600,55400,15055896
2020-08-21,55900,1,500,56200,56900,55800,21142288
2020-08-20,55400,0,2400,57600,57600,55300,30386029
2020-08-19,57800,0,600,59000,59200,57800,16930719
2020-08-18,58400,1,400,58900,59900,58000,25307825
2020-08-14,58000,0,700,58000,58400,57700,15672548
2020-08-13,58700,0,300,59400,59600,58000,22089460
2020-08-12,59000,1,800,58200,59000,57700,18573934
2020-08-11,58200,1,400,58000,59500,57800,24907912
2020-08-10,57800,1,300,57600,58300,57500,17774291
2020-08-07,57500,0,500,57900,58400,57100,18751717
2020-08-06,58000,1,1100,57100,58400,57100,21625874
2020-08-05,56900,0,400,57300,57500,56300,17739706
2020-08-04,57300,1,500,57200,58100,57000,19419694
2020-08-03,56800,0,1100,57800,57900,56700,21158940
2020-07-31,57900,0,1100,59500,59600,57700,21943345
2020-07-30,59000,2,0,59700,60100,59000,19285354
2020-07-29,59000,1,400,60300,60400,58600,36476611
2020-07-28,58600,1,3000,57000,58800,56400,48431566
2020-07-27,55600,1,1400,54300,55700,54300,21054421
2020-07-24,54200,1,100,54000,54400,53700,10994535
2020-07-23,54100,0,600,54700,54700,53800,16214932
2020-07-22,54700,0,600,55300,55500,54700,12885057
2020-07-21,55300,1,1100,55200,55400,54800,18297260
2020-07-20,54200,0,200,54800,54800,54000,10507530
2020-07-17,54400,1,600,54200,54700,54100,10096174
2020-07-16,53800,0,900,54800,54800,53800,16779127
2020-07-15,54700,1,900,54400,55000,54300,24051450
2020-07-14,53800,1,400,53700,53800,53200,14269484
2020-07-13,53400,1,700,53300,53800,53100,12240188
2020-07-10,52700,0,100,53100,53200,52300,13714746
2020-07-09,52800,0,200,53200,53600,52800,17054850
2020-07-08,53000,0,400,53600,53900,52900,19664652
2020-07-07,53400,0,1600,55800,55900,53400,30760032
2020-07-06,55000,1,1400,54000,55000,53800,19856623
2020-07-03,53600,1,700,53000,53600,52700,11887868
2020-07-02,52900,1,300,52100,52900,52100,14142583
2020-07-01,52600,0,200,53400,53600,52400,16706143
2020-06-30,52800,1,400,53900,53900,52800,21157172
2020-06-29,52400,0,900,52500,53200,52000,17776925
2020-06-26,53300,1,1400,52800,53900,52200,21575360
2020-06-25,51900,0,1000,52100,53000,51900,18541624
2020-06-24,52900,1,1500,51900,53900,51600,24519552
2020-06-23,51400,0,600,52500,52800,51100,18086152
2020-06-22,52000,0,900,52000,52600,51800,13801350
2020-06-19,52900,1,600,52600,52900,51600,18157985
2020-06-18,52300,1,100,52200,52300,51600,15982926
2020-06-17,52200,1,100,52100,52900,51300,26672595
2020-06-16,52100,1,2200,51200,52100,50600,21808375
2020-06-15,49900,0,2400,51400,52000,49900,28772921
2020-06-12,52300,0,2000,52100,52800,51500,26976019
2020-06-11,54300,0,1100,54500,55100,53200,33815123
2020-06-10,55400,0,100,55100,55900,54900,16742493
2020-06-09,55500,1,600,55800,56500,54400,23998831
2020-06-08,54900,0,600,56400,56500,54700,25634965
2020-06-05,55500,1,900,54400,55900,54000,22743629
2020-06-04,54600,1,100,55800,57000,54600,40220334
2020-06-03,54500,1,3100,51800,55000,51700,49257814
2020-06-02,51400,1,200,51000,51500,50800,14247933
2020-06-01,51200,1,500,50800,51200,50600,16949183
2020-05-29,50700,1,300,50000,50700,49700,27596961
2020-05-28,50400,1,500,51100,51200,49900,31309318
2020-05-27,49900,1,650,48950,50000,48800,19548479
2020-05-26,49250,1,400,48700,49450,48600,15127490
2020-05-25,48850,1,100,48750,48900,48450,14337913
2020-05-22,48750,0,1200,49600,49800,48600,19706284
2020-05-21,49950,0,50,50300,50400,49850,14949266
2020-05-20,50000,0,300,50000,50200,49800,14896899
2020-05-19,50300,1,1500,50100,50500,49700,25168295
2020-05-18,48800,1,950,47950,49100,47600,20481981
2020-05-15,47850,0,150,48400,48450,47700,18463118
2020-05-14,48000,0,550,47750,48100,47650,19305974
2020-05-13,48550,1,650,47250,48550,47200,20223277
2020-05-12,47900,0,500,48400,48500,47550,23433590
2020-05-11,48400,0,400,48900,49250,48300,16357743
2020-05-08,48800,2,0,49100,49350,48800,15319700
2020-05-07,48800,0,400,49200,49300,48700,13884411
2020-05-06,49200,1,700,49000,49200,48500,18070225
2020-05-04,48500,0,1500,48900,49100,48500,26083749
2020-04-29,50000,0,100,49900,50500,49600,15604533
2020-04-28,50100,1,250,49850,50100,49300,16095399
2020-04-27,49850,1,500,49350,50000,49100,14049471
2020-04-24,49350,0,500,49650,49750,49000,15618347
2020-04-23,49850,2,0,50200,50300,49500,18754442
2020-04-22,49850,1,600,48700,50000,48350,18613864
2020-04-21,49250,0,850,49400,49700,48700,27407543
2020-04-20,50100,0,1300,51400,51400,50000,21866354
2020-04-17,51400,1,2400,50800,52000,50300,32041675
2020-04-16,49000,2,0,49350,49350,48550,23349760
2020-04-14,49000,1,700,48800,49200,48300,14206216
2020-04-13,48300,0,950,48650,48900,48300,14431800
2020-04-10,49250,1,150,48950,49250,48650,17839111
2020-04-09,49100,1,500,49750,49800,48700,22628058
2020-04-08,48600,0,1000,49600,49750,48600,25010314
2020-04-07,49600,1,900,49650,50200,49000,31524034
2020-04-06,48700,1,1700,47500,48800,47250,23395726
2020-04-03,47000,1,200,47400,47600,46550,22784682
2020-04-02,46800,1,1000,46200,46850,45350,21621076
2020-04-01,45800,0,1950,47450,47900,45800,27259532
2020-03-31,47750,0,100,48000,48500,47150,30654261
2020-03-30,47850,0,450,47050,48350,46550,26797395
2020-03-27,48300,1,500,49600,49700,46850,39896178
2020-03-26,47800,0,850,49000,49300,47700,42185129
2020-03-25,48650,1,1700,48950,49600,47150,52735922
2020-03-24,46950,1,4450,43850,46950,43050,49801908
2020-03-23,42500,0,2900,42600,43550,42400,41701626
2020-03-20,45400,1,2450,44150,45500,43550,49730008
2020-03-19,42950,0,2650,46400,46650,42300,56925513
2020-03-18,45600,0,1700,47750,48350,45600,40152623
2020-03-17,47300,0,1600,46900,49650,46700,51218151
2020-03-16,48900,0,1050,50100,50900,48800,33339821
2020-03-13,49950,0,850,47450,51600,46850,59462933
2020-03-12,50800,0,1300,51000,51900,49300,48149999
2020-03-11,52100,0,2500,54300,54400,52000,45707281
2020-03-10,54600,1,400,53800,54900,53700,32106554
2020-03-09,54200,0,2300,54700,55000,53600,30261485
2020-03-06,56500,0,1300,56500,57200,56200,18716656
2020-03-05,57800,1,400,57600,58000,56700,21698990
2020-03-04,57400,1,2000,54800,57600,54600,24765728
