date,close,up/down,pastday,open,high,low,volume
2020-10-05,685000,0,5000,697000,701000,682000,69221
2020-09-29,690000,1,5000,690000,696000,685000,69147
2020-09-28,685000,1,10000,680000,690000,676000,59316
2020-09-25,675000,1,2000,674000,690000,665000,109274
2020-09-24,673000,0,32000,690000,698000,673000,186230
2020-09-23,705000,0,26000,732000,736000,698000,199488
2020-09-22,731000,0,9000,765000,772000,730000,174966
2020-09-21,740000,0,18000,755000,762000,735000,96630
2020-09-18,758000,1,1000,758000,762000,748000,64797
2020-09-17,757000,0,19000,773000,775000,757000,121310
2020-09-16,776000,1,3000,778000,780000,771000,79971
2020-09-15,773000,1,10000,766000,782000,761000,93709
2020-09-14,763000,1,2000,773000,773000,760000,77199
2020-09-11,761000,0,3000,758000,762000,755000,72604
2020-09-10,764000,1,5000,766000,767000,759000,84507
2020-09-09,759000,0,15000,764000,772000,756000,129170
2020-09-08,774000,0,2000,777000,781000,770000,71815
2020-09-07,776000,1,3000,773000,788000,767000,85511
2020-09-04,773000,0,6000,757000,774000,757000,124897
2020-09-03,779000,1,9000,768000,788000,765000,132075
2020-09-02,770000,0,11000,783000,786000,758000,188679
2020-09-01,781000,1,3000,775000,802000,775000,162447
2020-08-31,778000,0,21000,797000,799000,775000,233612
2020-08-28,799000,0,2000,808000,809000,795000,100079
2020-08-27,801000,0,11000,810000,812000,799000,132306
2020-08-26,812000,0,3000,812000,822000,807000,101158
2020-08-25,815000,0,5000,824000,826000,808000,104240
2020-08-24,820000,1,21000,800000,822000,799000,131478
2020-08-21,799000,1,5000,808000,809000,788000,143094
2020-08-20,794000,0,15000,800000,823000,792000,201445
2020-08-19,809000,1,7000,815000,828000,805000,150028
2020-08-18,802000,1,2000,800000,837000,795000,271955
2020-08-14,800000,0,20000,815000,830000,791000,216375
2020-08-13,820000,0,23000,837000,844000,809000,366305
2020-08-12,843000,1,39000,815000,854000,814000,760424
2020-08-11,804000,1,33000,793000,832000,783000,761446
