date,close,up/down,pastday,open,high,low,volume
2020-10-05,83200,0,800,83000,84100,82300,3302663
2020-09-29,84000,1,1500,83100,84900,82200,4707898
2020-09-28,82500,0,400,83400,83700,81300,3154068
2020-09-25,82900,0,1400,85800,85900,82200,3205596
2020-09-24,84300,1,700,82800,85400,82300,6401560
2020-09-23,83600,1,2300,82300,84800,80500,4439085
2020-09-22,81300,0,3200,84400,84800,80200,4139983
2020-09-21,84500,1,800,83700,85000,83600,4102947
2020-09-18,83700,1,1500,82900,83900,82200,5199334
2020-09-17,82200,1,700,81900,82900,81200,4055050
2020-09-16,81500,0,400,81700,82400,80500,3119110
2020-09-15,81900,1,1900,81300,82100,80200,5899410
2020-09-14,80000,1,1600,79100,80100,78900,4099644
2020-09-11,78400,1,1800,76700,78500,76300,2831262
2020-09-10,76600,0,700,78000,78200,76600,3541520
2020-09-09,77300,0,2100,77900,78400,77200,3918435
2020-09-08,79400,1,1000,78700,80000,78200,3380355
2020-09-07,78400,0,300,78600,79500,77600,2786930
2020-09-04,78700,2,0,76400,79400,76100,4582566
2020-09-03,78700,1,3200,77700,79700,77200,7002529
2020-09-02,75500,1,300,75900,76400,74900,2369360
2020-09-01,75200,1,100,75200,76500,75200,2538676
2020-08-31,75100,0,2700,78200,78800,75100,5113128
2020-08-28,77800,0,1300,79500,79600,77700,2511956
2020-08-27,79100,1,300,80200,80200,78800,4223450
2020-08-26,78800,1,1800,78000,79100,77100,4741965
2020-08-25,77000,1,1500,76300,77700,75400,3473488
2020-08-24,75500,1,1000,74600,77200,73700,4298619
2020-08-21,74500,1,2700,72800,77000,72500,7700029
2020-08-20,71800,0,3200,74400,74400,71300,7260223
2020-08-19,75000,0,3100,77300,78000,75000,8028305
2020-08-18,78100,0,2100,80000,80200,78000,4946279
2020-08-14,80200,0,500,80200,81100,80100,2589552
2020-08-13,80700,0,300,81900,82000,80300,4049387
2020-08-12,81000,0,300,81100,81300,80200,3595828
2020-08-11,81300,0,100,81700,82000,81000,3234013
2020-08-10,81400,1,800,80100,81900,79800,3277238
2020-08-07,80600,0,500,81200,81300,80000,4946631
2020-08-06,81100,1,400,80700,81900,80700,3391939
2020-08-05,80700,0,900,81200,81300,80500,4537005
2020-08-04,81600,0,200,81800,82500,81400,3005937
2020-08-03,81800,0,1000,82400,82600,81500,3483106
2020-07-31,82800,0,2500,85700,86000,82800,4848989
2020-07-30,85300,1,2100,83300,86400,83000,6870841
2020-07-29,83200,1,100,82900,83800,82600,3719681
2020-07-28,83100,1,300,83900,83900,82700,4538720
2020-07-27,82800,0,900,83100,84000,82800,2784652
2020-07-24,83700,1,1300,82300,83700,82200,3667416
2020-07-23,82400,0,800,84000,84000,82300,3591647
2020-07-22,83200,0,900,84100,84200,82900,2876295
2020-07-21,84100,1,1900,83400,84700,83000,4181015
2020-07-20,82200,0,700,82800,83000,82100,2008624
2020-07-17,82900,1,200,82700,83500,82600,1579078
2020-07-16,82700,0,300,83000,83100,82300,2312310
2020-07-15,83000,1,100,83100,83900,82900,3024429
2020-07-14,82900,0,100,82600,82900,82000,2048671
2020-07-13,83000,1,200,83100,83500,82500,2080934
2020-07-10,82800,0,200,83300,83500,82400,2201557
2020-07-09,83000,0,700,84200,84600,83000,4002365
2020-07-08,83700,0,1100,83800,84900,83600,3523620
2020-07-07,84800,0,1200,87300,87300,84600,3196352
2020-07-06,86000,1,600,86000,87000,85800,2561766
2020-07-03,85400,1,1000,85000,85600,84500,2195897
2020-07-02,84400,0,900,84800,85200,84000,3295340
2020-07-01,85300,1,200,86800,87300,84900,2382552
2020-06-30,85100,1,1500,86200,87300,85000,4983607
2020-06-29,83600,0,1000,84000,85300,83500,2932433
2020-06-26,84600,1,300,86000,86100,84500,2889494
2020-06-25,84300,0,1700,84300,85600,84000,3397112
2020-06-24,86000,1,1900,84200,87400,84000,4079834
2020-06-23,84100,0,800,85600,86200,83900,2955819
2020-06-22,84900,0,500,84400,85900,84300,2167216
2020-06-19,85400,0,800,86500,87000,84500,3216102
2020-06-18,86200,0,600,86100,86800,85400,2484147
2020-06-17,86800,1,1400,84800,87400,83500,4160612
2020-06-16,85400,1,3400,83400,85700,83300,3518785
2020-06-15,82000,0,3200,84100,86500,82000,4710114
2020-06-12,85200,0,3300,84500,85800,84500,4742329
2020-06-11,88500,0,2300,89300,90300,87500,5467344
2020-06-10,90800,1,1000,89800,91100,89400,3045250
2020-06-09,89800,0,1200,91000,92000,89100,3410081
2020-06-08,91000,1,600,93000,93000,90600,3789382
2020-06-05,90400,1,2700,88500,90800,87700,4000557
2020-06-04,87700,0,1000,90000,91600,87100,6678244
2020-06-03,88700,1,5400,83400,89200,83400,11642239
2020-06-02,83300,0,300,82700,83600,82700,3114162
2020-06-01,83600,1,2100,82100,83700,82100,4205357
2020-05-29,81500,0,2400,82600,82700,81300,6815185
2020-05-28,83900,1,2500,84100,85400,82400,9227823
2020-05-27,81400,0,500,81100,82700,81000,2946278
2020-05-26,81900,1,500,80600,82100,80600,3040122
2020-05-25,81400,1,100,81500,81800,80500,2850294
2020-05-22,81300,0,2100,83100,83300,81000,3471700
2020-05-21,83400,0,700,84900,84900,83200,2678953
2020-05-20,84100,1,1400,81900,84200,81800,3924403
2020-05-19,82700,1,1600,82400,83200,81700,4620614
2020-05-18,81100,0,800,80400,81800,79200,5294177
2020-05-15,81900,1,1300,81500,82300,80700,4168866
2020-05-14,80600,0,3000,82200,82500,80600,6409652
2020-05-13,83600,0,2100,83500,84100,83000,5371416
2020-05-12,85700,1,1200,84500,86500,83200,3574409
2020-05-11,84500,0,500,84500,85200,84100,2800047
2020-05-08,85000,1,2600,83000,85500,83000,5039635
2020-05-07,82400,2,0,82400,83400,81800,2660512
2020-05-06,82400,1,1400,82000,82500,80900,3351424
2020-05-04,81000,0,2700,82900,82900,80800,5280026
2020-04-29,83700,1,300,83500,84800,82900,3750568
2020-04-28,83400,1,800,82500,83900,82400,3205535
2020-04-27,82600,1,1200,81700,83200,81200,3235430
2020-04-24,81400,0,1200,82000,82500,80800,3193144
2020-04-23,82600,0,1300,85200,85200,82000,6519481
2020-04-22,83900,1,2600,80600,83900,80000,5335787
2020-04-21,81300,0,700,80600,82200,80200,5090721
2020-04-20,82000,0,2100,83900,83900,82000,5027876
2020-04-17,84100,1,2800,83600,85900,83200,6205624
2020-04-16,81300,0,1000,80600,82300,80600,4470072
2020-04-14,82300,1,900,82200,83700,81200,3344109
2020-04-13,81400,0,2700,83200,83400,81100,3615318
2020-04-10,84100,0,900,84000,84400,83000,3675338
2020-04-09,85000,1,500,86200,86500,84500,3555538
2020-04-08,84500,0,1300,85800,86500,84500,3749575
2020-04-07,85800,1,2700,86600,86700,83700,6188649
2020-04-06,83100,1,3500,81000,83300,80200,5784159
2020-04-03,79600,0,400,80000,80800,78500,3755301
2020-04-02,80000,1,1600,78800,80000,76500,5394371
2020-04-01,78400,0,4900,82100,83200,78400,6845675
2020-03-31,83300,0,400,84000,85500,82000,5333479
2020-03-30,83700,1,400,81000,84900,80000,5270037
2020-03-27,83300,1,2600,85700,85700,80500,8085695
2020-03-26,80700,0,3800,85000,87900,80400,7895289
2020-03-25,84500,1,5800,82000,84700,79800,8787217
2020-03-24,78700,1,9300,73000,78800,72100,7247345
2020-03-23,69400,0,5400,69700,71600,68000,8192363
2020-03-20,74800,1,5800,71800,76200,70100,8750101
2020-03-19,69000,0,4100,75500,75800,65800,11140367
2020-03-18,73100,0,7300,81600,82500,73000,7949482
2020-03-17,80400,0,200,77500,83100,77000,7107436
2020-03-16,80600,0,1900,83700,84800,80400,5097762
2020-03-13,82500,0,300,76900,84700,76000,8160758
2020-03-12,82800,0,2700,83800,84600,79600,8191818
2020-03-11,85500,0,3600,88200,88500,85100,5226251
2020-03-10,89100,1,2200,86900,89400,86600,6579153
2020-03-09,86900,0,5700,89500,89700,86400,6196552
2020-03-06,92600,0,2300,93300,94300,92000,3281612
2020-03-05,94900,1,600,95200,95900,93800,4028776
2020-03-04,94300,1,1500,91300,95000,91300,4984561
2020-03-03,92800,1,700,95000,95100,92400,5573006
2020-03-02,92100,1,4200,90000,93100,88300,6382279
2020-02-28,87900,0,4900,91000,92200,87700,8171939
2020-02-27,92800,0,1800,94700,95300,92200,4644449
2020-02-26,94600,0,3400,95500,96100,94400,6405409
2020-02-25,98000,0,1500,97800,99100,96400,6594059
2020-02-24,99500,0,3500,100500,100500,98900,5550758
2020-02-21,103000,0,1000,101500,103500,101000,4064719
2020-02-20,104000,1,500,104500,106000,102500,3093782
2020-02-19,103500,1,1500,102500,103500,101000,2315634
2020-02-18,102000,0,3000,104000,104500,101500,2789667
2020-02-17,105000,1,500,104500,106000,103500,1190162
2020-02-14,104500,1,2500,101500,105000,101000,1893163
2020-02-13,102000,1,2000,101000,103500,100500,3519491
2020-02-12,100000,1,200,100500,101000,99100,2616573
2020-02-11,99800,1,1000,99900,100500,99000,1820578
2020-02-10,98800,0,500,98000,99200,97400,1825648
2020-02-07,99300,0,1200,100000,100500,98400,1827393
2020-02-06,100500,1,2800,98900,101000,98300,2861441
2020-02-05,97700,1,600,99300,99300,96900,2911995
2020-02-04,97100,1,2400,94800,97500,94500,3169743
2020-02-03,94700,1,1200,91800,95600,91500,3725535
2020-01-31,93500,0,500,94500,97500,93500,4597139
2020-01-30,94000,0,3900,97800,97800,93800,3223436
2020-01-29,97900,1,1600,96900,99000,96700,2741459
2020-01-28,96300,0,2400,95500,96900,95000,3630362
2020-01-23,98700,0,2300,101000,101000,98200,2780104
2020-01-22,101000,1,1700,99000,101000,99000,2257478
2020-01-21,99300,0,600,100500,100500,99000,1483291
2020-01-20,99900,1,900,100000,101000,99600,1781639
2020-01-17,99000,0,200,100500,101500,98800,2246394
2020-01-16,99200,1,1000,97400,99400,97400,2824804
2020-01-15,98200,0,2300,99900,99900,98000,2745625
2020-01-14,100500,2,0,101500,103500,99900,2913343
2020-01-13,100500,1,1600,99000,101000,98000,2242008
2020-01-10,98900,0,100,99100,99700,97900,2867925
2020-01-09,99000,1,1600,98900,99000,97400,3586413
2020-01-08,97400,1,3400,96400,99500,95200,7014748
2020-01-07,94000,0,300,94500,95400,94000,2489429
2020-01-06,94300,0,200,93000,95300,92800,2577573
2020-01-03,94500,0,200,96500,97900,94300,3021380
2020-01-02,94700,1,600,96000,96200,94100,2342070
2019-12-30,94100,0,1900,95600,96300,94100,1862634
2019-12-27,96000,1,1200,94800,97000,94200,2229470
2019-12-26,94800,1,1000,94000,95100,93500,1559839
2019-12-24,93800,0,800,95000,95600,93800,1464093
2019-12-23,94600,0,400,95800,96200,94100,1720279
2019-12-20,95000,1,1400,94100,95100,93700,2791176
2019-12-19,93600,1,600,95400,96400,93400,4938375
2019-12-18,93000,1,200,93400,94500,91800,3434310
2019-12-17,92800,1,4200,91000,93800,90200,5070618
2019-12-16,88600,1,700,87200,89400,87000,2652685
2019-12-13,87900,1,4500,87200,88200,85800,5831965
2019-12-12,83400,1,2800,82000,83500,82000,5247299
2019-12-11,80600,0,100,80700,81000,80100,2009331
2019-12-10,80700,2,0,79800,80900,79400,1831960
2019-12-09,80700,1,100,81300,81800,80700,2290088
2019-12-06,80600,1,1800,79300,80800,79100,3054204
2019-12-05,78800,1,1100,79800,79900,78000,3667358
2019-12-04,77700,0,1000,78000,78100,76800,6164549
2019-12-03,78700,0,1800,78100,79300,77300,11657151
2019-12-02,80500,0,400,80900,81800,80500,1945991
2019-11-29,80900,0,1900,82500,82800,80700,2139440
2019-11-28,82800,1,100,83100,83800,82500,1413983
2019-11-27,82700,1,400,82400,83200,82000,1326621
2019-11-26,82300,1,600,82000,84100,82000,4521090
2019-11-25,81700,2,0,82300,83300,81500,2602474
2019-11-22,81700,1,800,80900,82100,80700,2089767
2019-11-21,80900,0,1800,81700,82500,80500,3346746
2019-11-20,82700,0,2600,84400,85200,82600,3315169
2019-11-19,85300,0,200,85400,86000,84600,2260299
2019-11-18,85500,1,300,86000,86500,84700,1827506
2019-11-15,85200,1,1800,84200,85200,83400,2394138
2019-11-14,83400,2,0,83200,83800,82900,1517137
2019-11-13,83400,1,200,83300,83600,82300,1370289
2019-11-12,83200,1,1900,81900,83200,81300,1555211
2019-11-11,81300,0,1000,82500,82500,80700,2174477
2019-11-08,82300,0,1300,84600,84600,82000,2074339
2019-11-07,83600,1,100,83700,84300,82800,1594558
2019-11-06,83500,0,1600,84800,85200,83500,2127745
2019-11-05,85100,1,400,85100,85400,84600,1953720
2019-11-04,84700,1,1600,84000,84900,83800,2182879
2019-11-01,83100,1,1100,82300,83200,81600,1848046
2019-10-31,82000,1,500,81900,83400,81600,1978755
2019-10-30,81500,0,1500,83400,83400,81000,1927042
2019-10-29,83000,1,100,84000,84000,82900,1645070
2019-10-28,82900,2,0,83400,84000,82600,1977758
2019-10-25,82900,1,2900,82400,82900,81500,4229200
2019-10-24,80000,1,2300,79900,80100,78700,3076100
2019-10-23,77700,0,1400,78500,78600,77700,5373911
2019-10-22,79100,1,1600,78900,79300,78200,3453958
2019-10-21,77500,1,100,77800,78400,77100,2096581
2019-10-18,77400,0,3600,81500,81700,77300,13625664
2019-10-17,81000,0,1400,82000,82200,80600,1713942
2019-10-16,82400,1,1200,82400,82700,81900,2436269
2019-10-15,81200,1,700,80700,81700,80500,1518810
2019-10-14,80500,1,500,82000,82300,80400,1972409
2019-10-11,80000,1,1000,79800,80500,79400,2186536
2019-10-10,79000,0,1900,78900,79600,78100,4389324
2019-10-08,80900,1,600,80400,81100,79400,1816880
2019-10-07,80300,2,0,80700,81700,79800,1229105
2019-10-04,80300,1,800,78900,81300,78900,2430603
2019-10-02,79500,0,2500,81600,81600,79500,2188097
2019-10-01,82000,0,200,81800,82500,81700,2370210
2019-09-30,82200,1,800,80600,82900,80400,2442478
2019-09-27,81400,0,1900,80200,81500,80100,2625620
2019-09-26,83300,1,1400,83000,83500,82500,1734941
2019-09-25,81900,0,1500,82200,82800,81500,1644881
2019-09-24,83400,1,600,82500,83500,81400,1662830
2019-09-23,82800,1,600,81900,83300,81900,1413663
2019-09-20,82200,0,500,82800,83400,82100,2447172
2019-09-19,82700,1,2500,80600,82700,80300,3612220
2019-09-18,80200,1,800,80100,80600,79500,2706678
2019-09-17,79400,0,100,80000,80400,79100,2538780
2019-09-16,79500,0,3100,81000,81000,79000,5174391
2019-09-11,82600,0,500,83400,84300,81300,3650902
2019-09-10,83100,0,1200,84200,84200,82700,1761883
